fipsstat,year,stpop,state,area,densitym,rpcpi,rpcui,rpcim,shalll,vio,mur,rap,rob,aga,pro,bur,lar,aut,pbm1019,pbm2029,pbm3039,pbm4049,pbm5064,pbmo65,pbf1019,pbf2029,pbf3039,pbf4049,pbf5064,pbfo65,pwm1019,pwm2029,pwm3039,pwm4049,pwm5064,pwmo65,pwf1019,pwf2029,pwf3039,pwf4049,pwf5064,pwfo65,pnm1019,pnm2029,pnm3039,pnm4049,pnm5064,pnmo65,pnf1019,pnf2029,pnf3039,pnf4049,pnf5064,pnfo65,yradopt,aftr,incarc_rate,vernick_shall,v_shall,v_aftr,shall_vio_PA,shall_pro_PA,shall_rob_PA,shall_rap_PA,shall_mur_PA,shall_lar_PA,shall_aut_PA,shall_bur_PA,shall_aga_PA
1,70,3454557,,50708,68.12647247,7647.092739,28.31043625,120.8299866,NA,295.7000122,11.69999981,18.5,50.29999924,215.1999969,2183.800049,776.4000244,1184,223.5,3.281665325,1.432542562,0.980096698,1.035067558,1.510873914,1.042159677,3.335478306,1.703257442,1.281785131,1.368742824,1.855057001,1.42507422,7.196031094,5.505857944,4.225230694,4.316501141,5.253350735,2.860019445,6.902737617,5.698907375,4.415501118,4.559108257,5.825493813,4.08127594,0.014907845,0.018728884,0.011260489,0.006599978,0.007236818,0.007757869,0.013952585,0.017947309,0.015978893,0.011405225,0.008221026,0.007236818,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,71,3497078,,50708,68.9650116,7930.275357,42.31365967,124.5610504,NA,311.3999939,15.10000038,19,57.59999847,219.6999969,2187,791.7999878,1173.900024,221.1999969,3.24691081,1.516980767,0.968951821,1.002293944,1.480521679,1.056510568,3.287516117,1.789293766,1.254590273,1.33442831,1.83230114,1.455758214,7.231837749,5.664357662,4.214489937,4.271022797,5.268112183,2.917263985,6.923723221,5.813424587,4.388063431,4.501272202,5.851685524,4.208113194,0.017872063,0.020359855,0.013153839,0.008006684,0.007920898,0.007720731,0.016699657,0.020645808,0.018386779,0.013068053,0.009379259,0.007663541,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,72,3539401,,50708,69.79965973,8445.351635,41.72848129,128.0443115,NA,313.2000122,14.10000038,18.79999924,68.59999847,211.6999969,2081.300049,789.5999756,1096.699951,195,3.226760626,1.59866035,0.972735226,0.973921835,1.457450032,1.069785595,3.255268335,1.87362206,1.24176383,1.302056432,1.817708731,1.483838677,7.225008011,5.817933559,4.253827095,4.213255405,5.299540997,2.970898151,6.915011883,5.903541088,4.404643536,4.426907063,5.89769268,4.33005476,0.021218279,0.022150641,0.015426339,0.009634399,0.009041077,0.007769676,0.019579584,0.023506802,0.020624958,0.014974285,0.01116008,0.008476011,NA,NA,110,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,73,3579779,,50708,70.59593964,8882.280121,27.2328167,128.0609589,NA,350.1000061,13.19999981,21.20000076,79.40000153,236.3000031,2232.199951,897.2999878,1107.800049,227.1999969,3.208270788,1.67275691,0.979501784,0.953047633,1.437267542,1.083223343,3.227126598,1.963864207,1.236528873,1.280246615,1.810893893,1.511992812,7.199717999,5.873127937,4.369906425,4.168134212,5.315803051,3.026276112,6.887185097,5.945059776,4.502289295,4.368873119,5.930533886,4.45136404,0.024219371,0.023967961,0.017375374,0.01109007,0.010391703,0.007961385,0.022599161,0.026537951,0.023101985,0.016816681,0.012849955,0.009609532,NA,NA,103.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,74,3626501,,50708,71.51733398,8789.019917,38.93441772,159.157608,NA,372.8999939,15,22.70000076,99.59999847,235.6000061,2627.199951,1057.900024,1308.699951,260.6000061,3.174437284,1.749179125,0.983840883,0.928829193,1.403804898,1.092154622,3.182240963,2.059092283,1.23030436,1.255811095,1.788280249,1.542257905,7.173526287,6.007554054,4.450405598,4.115261555,5.321768761,3.08451581,6.853824139,6.057243824,4.575567245,4.305306911,5.946586132,4.573885441,0.02735419,0.026940569,0.019798698,0.012518954,0.011140215,0.008272436,0.025093058,0.03016682,0.025616979,0.018447533,0.014173442,0.010505995,NA,NA,104.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,75,3678816,,50708,72.54902649,8820.014768,115.3534088,170.781311,NA,392.8999939,16,20.39999962,123,233.5,3079.600098,1163.800049,1645.5,270.2999878,3.144952059,1.841135859,0.99629879,0.907112479,1.370739937,1.095379591,3.142016411,2.170915842,1.235533357,1.23523438,1.763094425,1.56428051,7.089345932,6.142302513,4.512430191,4.067531586,5.310676098,3.131958723,6.774435043,6.179759979,4.627548695,4.247127533,5.94805479,4.681533337,0.030825134,0.030009655,0.022153867,0.014053434,0.011715726,0.008100432,0.02791659,0.034114238,0.028460244,0.020386994,0.015575663,0.011389534,NA,NA,110.3000031,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,76,3735139,,50708,73.65975952,9315.25,100.171608,172.931488,NA,388.7999878,15.10000038,21.70000076,96,256,3419.5,1170,1987.199951,262.2999878,3.089898348,1.922150731,1.016213894,0.888989687,1.348249674,1.09136498,3.09391427,2.265404224,1.252858281,1.207210779,1.753428698,1.560905814,6.988602161,6.299738884,4.563310623,4.032486916,5.329600811,3.163630486,6.676217556,6.331946373,4.665288448,4.204716206,5.98205328,4.750425816,0.033332095,0.032850184,0.024738036,0.015581749,0.012529654,0.008005057,0.030574499,0.038499236,0.031511545,0.022194622,0.01713457,0.012449336,NA,NA,121,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,77,3780403,Alabama,50708,74.55239868,9563.148311,76.0695343,166.3858948,1,414.3999939,14.19999981,25.20000076,96.80000305,278.2999878,3298.199951,1135.5,1881.900024,280.7000122,2.999706745,1.981561184,1.058485031,0.873848617,1.318272114,1.096576214,3.012932777,2.330042601,1.294041872,1.183286548,1.733889222,1.57872057,6.836572647,6.285044193,4.80668354,4.003223896,5.32964325,3.222249031,6.523510933,6.290943146,4.891330242,4.167439461,5.9885149,4.860434055,0.035525315,0.036001451,0.027907077,0.016929412,0.013517077,0.00804147,0.032747831,0.042429339,0.035419505,0.023806985,0.0185959,0.013279008,77,0,83,0,0,0,1,1,1,1,1,1,1,1,1
1,78,3831838,Alabama,50708,75.56673431,9931.999981,55.62479019,157.5444641,1,419.1000061,13.30000019,25.5,99.09999847,281.2000122,3519.699951,1229.300049,1987.900024,302.5,2.908865213,2.026468754,1.099915981,0.86102283,1.289041996,1.096967101,2.930838823,2.386061192,1.335520983,1.164506435,1.712024331,1.593856573,6.678752899,6.30308485,4.96401453,3.984119415,5.341170311,3.280070782,6.362794876,6.316029072,5.041627407,4.148453236,6.003620148,4.959865093,0.037684266,0.039223995,0.031394854,0.01832019,0.014327328,0.008272792,0.034787484,0.046661679,0.039484967,0.02560129,0.020251378,0.01404026,77,0,94,0,0,0,1,1,1,1,1,1,1,1,1
1,79,3866248,Alabama,50708,76.24532318,9877.027849,57.77517319,182.3125153,1,413.2999878,13.19999981,27.5,109.5,263.1000061,3830.5,1287.300049,2223.199951,320.1000061,2.819839716,2.070482731,1.14801228,0.848238409,1.262179732,1.105697274,2.846221924,2.431271791,1.384391308,1.144235969,1.693217874,1.618157983,6.527568817,6.339634895,5.10487175,3.977654934,5.340474606,3.350431681,6.205085754,6.324244976,5.171163559,4.139879227,6.005279541,5.086093903,0.039547384,0.042263195,0.035150357,0.01986422,0.015130948,0.008328488,0.036779843,0.05056582,0.044099603,0.027494356,0.021881679,0.015053354,77,0,144,0,0,0,1,1,1,1,1,1,1,1,1
